label,review
어바웃타임,인생 영화... 삶에 비칠 때 다시 보면 하루하루가 소중함을 다시금 깨닫는다
어바웃타임,별다른 특수효과 없이 초능력을 사용하는 장면을 연출해낸다는게 신선했습니다. 스토리도 감동적이고 재미있게 몰입해서 잘 봤습니다.
어바웃타임,시간이 흐를수록 더욱 빛나는 명품의 여전한 감동
어바웃타임,과거에 연연하지말고 현재를 생각하며 살자
어바웃타임,문학적인 영화 유머 위트도 있네용
어바웃타임,"애인이랑 제가 좋아햇던영화스크린으로, 둘이함께 다시보니 더욱 좋아진 영화"
어바웃타임,현재 이순간이 내 삶의 마지막 순간인것처럼....
어바웃타임,삶에 대해 다시 한 번 생각해보게 되는 좋은 영화!
어바웃타임,내 인생영화 보면서 정말 힐링 됐던 순간이었다. 몇 십번을 돌려 봐도 질리지 않을 영화.
어바웃타임,마음에 남는 영화. 다시 보고 싶습니다
어바웃타임,보는내내 가슴이 따뜻해지고 느끼는것이 많은 작품이였다
어바웃타임,"로코퀸 레이첼 맥아담스의 출연작중 TOP 5 안에 든다고 생각되는 작품. 이 영화 극장 관람은 이번이 처음인데, '시간여행' 이라는 독특한 소재로 영화의 시작과 끝 그리고 배우들의 연기와 OST 까지 모든 것이 훌륭하다"
어바웃타임,기대를 너무햇엇나봐요...저는 그냥저냥햇어요
어바웃타임,몇번을 봐도 다시보고싶은 영화
어바웃타임,"교훈,감동,사랑,재미 모든것이 들어있는 내인생 최고의 영화"
어바웃타임,이 퀄리티는 유지하는구나. 믿고 보는 워킹타이틀.
어바웃타임,다시 봐도 좋은 영화입니다 ㅎㅎ
어바웃타임,완전 행복한 영화입니다. 우리에 삶에서 무엇이 중요한지 영화배우 같이 않은 평범한 배우들의 모습에서 더 친근감 가는 영화
어바웃타임,가족애를 느끼게해주는 따뜻한영화였어요 두번봐도 아깝지않았습니다~
어바웃타임,수많은영화를봤지만 내인생영화중에 하나에들어가는영화
어바웃타임,몇 번을 봤지만볼 때마다 다르게 와닿는다그러나 레이첼맥아담스는 여전히 이쁘다
어바웃타임,좋아요.개인적으로 8점후반대가 맞는것 같네요.
어바웃타임,이거보고 레이첼맥아담스 좋아했는데재개봉으로 또보니좋네요
어바웃타임,2014년 상반기 가장 기분 좋게 본 영화
어바웃타임,언제봐도 하루하루를 소중하게 느낄 수 있게 해주는 영화
어바웃타임,누가 뭐래도 아직까지 내 인생 최고의 영화는 이거야. 지금 곁에 있는 행복을 말하는 행복한 이야기
어바웃타임,최근 본 영화중에 가장 괜찮았던 영화 주변애 막 강추하고 다님
어바웃타임,사랑 이야기 이상의 삶에 대한 감동
어바웃타임,흐뭇했어요 유치할수도있지만 ㅋ
어바웃타임,너무너무 사랑스러운 영화인데볼때마다 가족이 생각나는 영화
어바웃타임,이 영화를 본 후부터 가장 사랑스러운 노래는 il mondo가 되었다
어바웃타임,굿굿굿 로맨스 원래 안좋아하는데ㅜ재미있아서한번 더 본 작품
어바웃타임,영화관에 세 번이나 가서 본 영화ㅎㅎㅎ볼때마다 새로운 느낌
어바웃타임,인생이란 나의 마음 먹기에 달려있다
어바웃타임,마지막으로 아버지와 함께 보낼때 눈물 펑펑 쏟았다ㅠㅠ
어바웃타임,시간을 되돌리 수 있다면...
어바웃타임,좋은 영화 재밌게 관람했어요.
어바웃타임,한 여자와 자신의 연을 만들기위해 고군분투하는 모습이 자연스럽게 녹아든 영화였다늘 느끼는거지만 로맨틱한 영화를 보면 나도 영화내용처럼 사랑하고픈 생각이 마구마구마구마구든다
어바웃타임,"레이첼 맥아담스보다 더 빛나는 건 아버지, 그리고 시간"
어바웃타임,감동적이기도 했고 재미도 있었어요~ 재개봉해서 봤는데 다시보고싶네요~
어바웃타임,"시간에 대해서 얘기라기보다는, 삶을 올바로 살아가는 자세에 대한 얘기라고 생각합니다. 시간을 오가는 것은 그 순간에는 흥미롭지만, 그에 따른 부작용이 더 크다는 것을 은유적으로 잘 표현해주네요. 오늘을 최선을 다해서 살아가자는 삶에 대한 좋..."
어바웃타임,레이첼 맥아담스의 사랑스러움으로 보는 내내 흐뭇하게 본 영화!!
어바웃타임,"따뜻한 영화, 미소를 짓게 하는 몇 안되는 영화였다."
어바웃타임,시간을 되돌릴 수 없어서 참 다행이다! 라고 생각되는 영화. 그래서 지금 이 순간이 더없이 사랑스럽게 느껴지는 영화.
어바웃타임,2013년에 봤을때와 2019년에 다시 보게 되었을때 이렇게도 다른 느낌이 들 수 있다니..ㅠㅠ 역시 내 인생영화
어바웃타임,어바웃타임 재미있게 잘 봤습니다
어바웃타임,여주인공이 예뻤다. 예뻤다...
어바웃타임,인생영화ㅠㅠ명작이고 몇번이고 봐도 가슴뭉클해지는
어바웃타임,어려서는 그렇게 시간을 되돌리고 싶은 순간들이 많더니 점점 나이가 들다보니 과거로 돌아가기 싫네요^^다시 살기 귀찮아~
어바웃타임,다소 황당한 설정에 루즈나는 듯 ㅠ
어바웃타임,"로맨틱하면서 가족의 소중함, 매 순간의 소중함을 체험할 수 있는 영화"
어바웃타임,시간의 소중함과 감사함을 다시한번 생각하게 되는 영화네요
어바웃타임,"비가와도 태풍이 와도 행복한 그들 , 몇번을 봐도 질리지 않을 선물같은 영화였습니다! OST도 너무 좋았다는 :D"
어바웃타임,10년전에 나온 영화지만 여전히 타임루프 로맨스의 교과서
어바웃타임,남주가 분명 잘생겨보인다고 했었는데...
어바웃타임,인생영화에요.... 재개봉해도 또 달려갈것같습니다..ㅠㅠ
어바웃타임,"영화는 끝났지만, 저의 어바웃타임은 계속되네요 - 여운마저 사랑스러운 영화 !!!! 극장에서 3번 봤지만, 또 보고픈 영화입니다 !!!"
어바웃타임,레이첼 맥아담스가 너무 사랑스러운 영화~
어바웃타임,"결과적으로.. 시간을 되돌아가서 상황을 바꾸는 것이 아니라, 그 상황을 대하는 마음가짐을 바꾸게 되면서 인생을 순리대로 살아가는.. 그래서 아버지도 결국 보내게 되는거고.. 아 뭐라 하나만 콕 짚어서 말하기엔 어려울정도로 많은걸 느끼게 한 영화."
어바웃타임,연애뿐만 아니라 많은 것을 생각하게 하는 영화
어바웃타임,마음이 따뜻해지고 마치 내가 주인공이 된것같은 몰입도를 느낄수 있는 영화!
어바웃타임,매순간을 최선을 다하도록 생각해 보게 하는 영화
어바웃타임,하루하루가 소중한 영화였습니다
어바웃타임,애정하는영화 :)다섯번 보아도 좋움
어바웃타임,아름답고 가슴찡한 영화^_^ 큰 메세지 가슴에 담고 가요
어바웃타임,아버지와아들의 마지막 탁구가 감명깊엇습니당
어바웃타임,난 이 영화에서 남녀의 사랑보다 아버지와 아들의 관계에서 더 감동을 받는다
